Installation,plot_ID,date,sample_ID,collection_method,tboid,tbo,Human,Wildlife,Domestic_Animals,Endosymbiont,Human_Endo,Human_Animal,Unknown,TICK HOST(S),"TICK HOSTS, DOD SERDP STUDY",Vertebrate_Host,Disease,DISEASE HOST
Blanding,A1,2017-06-09T00:00:00Z,BA1XDAA1,Drag,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,A1,2017-06-09T00:00:00Z,BA1XDAA2,Drag,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,NA,NA,NA,NA,NA,NA,Ixodes scapularis,"Amblyomma americanum, A. maculatum, Dermacentor variabilis","cattle, dogs, med/large mammals, mice, sml mammals, ground-frequenting birds, skinks, lizards",ehrlichiosis,humans
Blanding,A1,2017-06-09T00:00:00Z,BA1XDAA2,Drag,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,A1,2017-06-10T00:00:00Z,BA1XWAA1,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,A1,2017-06-10T00:00:00Z,BA1XWAN1,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,NA,NA,NA,NA,NA,NA,Ixodes scapularis,"Amblyomma americanum, A. maculatum, Dermacentor variabilis","cattle, dogs, med/large mammals, mice, sml mammals, ground-frequenting birds, skinks, lizards",ehrlichiosis,humans
Blanding,A1,2017-06-10T00:00:00Z,BA1XWAN1,Whalen,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,A1,2017-06-10T00:00:00Z,BA1XWAN1,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,A1,2017-06-10T00:00:00Z,BA1XWAN2,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,NA,NA,NA,NA,NA,NA,Ixodes scapularis,"Amblyomma americanum, A. maculatum, Dermacentor variabilis","cattle, dogs, med/large mammals, mice, sml mammals, ground-frequenting birds, skinks, lizards",ehrlichiosis,humans
Blanding,A1,2017-06-10T00:00:00Z,BA1XWAN2,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,A1,2017-06-10T00:00:00Z,BA1XWAN3,Whalen,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,A1,2017-06-10T00:00:00Z,BA1XWAN3,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,A1,2017-06-10T00:00:00Z,BA1XWAN4,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,c1,2018-05-24T00:00:00Z,BC1DTAN1,trap,tbo1,Babesia sp.,NA,Yes,Yes,NA,NA,NA,NA,"Rhipicephalus spp., Ixodes spp.","Amblyomma americanum, A. maculatum",cattle; deer; rabbits,babesioses/unknown,"cattle, deer"
Blanding,c1,2018-05-24T00:00:00Z,BC1DTAN1,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,C,2017-06-07T00:00:00Z,BCXWAN1,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,NA,NA,NA,NA,NA,NA,Ixodes scapularis,"Amblyomma americanum, A. maculatum, Dermacentor variabilis","cattle, dogs, med/large mammals, mice, sml mammals, ground-frequenting birds, skinks, lizards",ehrlichiosis,humans
Blanding,C,2017-06-07T00:00:00Z,BCXWAN1,Whalen,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,C,2017-06-07T00:00:00Z,BCXWAN1,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,C,2017-06-07T00:00:00Z,BCXWVA1,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,D1,2017-06-10T00:00:00Z,BD1CTAA1,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,NA,NA,NA,NA,NA,NA,Ixodes scapularis,"Amblyomma americanum, A. maculatum, Dermacentor variabilis","cattle, dogs, med/large mammals, mice, sml mammals, ground-frequenting birds, skinks, lizards",ehrlichiosis,humans
Blanding,D1,2017-06-10T00:00:00Z,BD1CTAA1,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,D1,2017-06-10T00:00:00Z,BD1ETAA1,trap,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,D1,2017-06-10T00:00:00Z,BD1ETAA1,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,D1,2017-06-10T00:00:00Z,BD1WTAA1,trap,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,D1,2017-06-10T00:00:00Z,BD1WTAA1,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,E1,2017-06-15T00:00:00Z,BE1ETAA1,trap,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,E1,2017-06-15T00:00:00Z,BE1ETAA1,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,E1,2017-06-14T00:00:00Z,BE1XWAA1,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,E1,2017-06-14T00:00:00Z,BE1XWAA2,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,E1,2017-06-14T00:00:00Z,BE1XWAA3,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,E1,2017-06-14T00:00:00Z,BE1XWVA1,Whalen,tbo7,Francisella endosymbiont,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1CTAA1,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1CTAA2,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1CTAA3,trap,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,F1,2017-06-23T00:00:00Z,BF1CTAA3,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1CTAA4,trap,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,NA,NA,NA,NA,NA,NA,Ixodes scapularis,"Amblyomma americanum, A. maculatum, Dermacentor variabilis","cattle, dogs, med/large mammals, mice, sml mammals, ground-frequenting birds, skinks, lizards",ehrlichiosis,humans
Blanding,F1,2017-06-23T00:00:00Z,BF1CTAA4,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1CTAA5,trap,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,F1,2017-06-23T00:00:00Z,BF1CTAA5,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1CTAA6,trap,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,F1,2017-06-23T00:00:00Z,BF1CTAA6,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1ETAA1,trap,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,F1,2017-06-23T00:00:00Z,BF1ETAA1,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1ETAA2,trap,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,F1,2017-06-23T00:00:00Z,BF1ETAA2,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1NTAA1,trap,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,F1,2017-06-23T00:00:00Z,BF1NTAA1,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1NTAA3,trap,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,F1,2017-06-23T00:00:00Z,BF1NTAA4,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1NTAA5,trap,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,F1,2017-06-23T00:00:00Z,BF1NTAA5,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1STAA1,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1WTAA1,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1WTAA2,trap,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,F1,2017-06-23T00:00:00Z,BF1WTAA2,trap,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1XWAA1,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1XWAA2,Whalen,tbo1,Theileria cervi,NA,Yes,NA,NA,NA,NA,NA,Amblyomma americanum,"Amblyomma americanum, A. maculatum",deer,opportunistic theileriosis,deer & elk
Blanding,F1,2017-06-23T00:00:00Z,BF1XWAA2,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1XWAA4,Whalen,tbo1,Theileria sp.,NA,NA,NA,NA,NA,NA,Yes,NA,"Amblyomma americanum, A. maculatum",unknown,theileriosis/unknown pathogenicity,unknown pathogenicity
Blanding,F1,2017-06-23T00:00:00Z,BF1XWAA4,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1XWAA5,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,NA,NA,NA,NA,NA,NA,Ixodes scapularis,"Amblyomma americanum, A. maculatum, Dermacentor variabilis","cattle, dogs, med/large mammals, mice, sml mammals, ground-frequenting birds, skinks, lizards",ehrlichiosis,humans
Blanding,F1,2017-06-23T00:00:00Z,BF1XWAA5,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1XWAA6,Whalen,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
Blanding,F1,2017-06-23T00:00:00Z,BF1XWAA6,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1XWAN1,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,NA,NA,NA,NA,NA,NA,Ixodes scapularis,"Amblyomma americanum, A. maculatum, Dermacentor variabilis","cattle, dogs, med/large mammals, mice, sml mammals, ground-frequenting birds, skinks, lizards",ehrlichiosis,humans
Blanding,F1,2017-06-23T00:00:00Z,BF1XWAN1,Whalen,tbo8,Coxiella endo. of A. americanum,NA,NA,NA,Yes,NA,NA,NA,NA,"Amblyomma americanum, A. maculatum, Dermacentor variabilis, Ixodes scapularis, Rhipicephalus sanguineus",unknown,non-pathogenic,non-pathogenic
Blanding,F1,2017-06-23T00:00:00Z,BF1XWAN3,Whalen,tbo1,Ehrlichia muris subsp. eauclairensis,Yes,NA,NA,NA,NA,NA,NA,Ixodes scapularis,"Amblyomma americanum, A. maculatum, Dermacentor variabilis","cattle, dogs, med/large mammals, mice, sml mammals, ground-frequenting birds, skinks, lizards",ehrlichiosis,humans
Blanding,F1,2017-06-23T00:00:00Z,BF1XWAN3,Whalen,tbo6,Rickettsia amblyommatis,NA,NA,NA,NA,Yes,NA,NA,Amblyomma americanum; A. cajennense; A. oblongoguttanum; A. ovale; Rhipicephalus microplus; R. sanguineus; Dermacentor nitens; A. maculatum; A. coelebs; A. neumanni; A. longirostre; A. geayi; A. auricularium,"Amblyomma americanum, A. maculatum, Dermacentor variabilis",mammals,"endosymbiont, may cause mild human rickettsiosis",perhaps human
